pair,task1,task2,merge_task_vector_cosine_similarity,merge_task_vector_l2_distance,merge_task_vector_dot_product,merge_weight_space_angle,merge_task_vector_magnitude_ratio,merge_singular_value_overlap,merge_subspace_overlap,perf_arithmetic,perf_isotropic,perf_weight_avg,perf_tsv
SUN397__Cars,SUN397,Cars,0.033207088708877563,3.8936710357666016,0.2500123679637909,88.09702411907517,0.7685411810715146,0.9381033035944093,0.08837980147240299,0.9155009686946869,0.9261632859706879,0.9566810727119446,0.9852086007595062
SUN397__RESISC45,SUN397,RESISC45,0.04599659517407417,3.0690062046051025,0.22319799661636353,87.36365905475397,0.8386212728639438,0.927907148622117,0.09725043894547336,0.9181662797927856,0.9111979901790619,0.9633115828037262,0.9882785081863403
SUN397__EuroSAT,SUN397,EuroSAT,0.03673391416668892,2.994206190109253,0.16510818898677826,87.894828125822,0.7767892116439203,0.8897342625653969,0.08373422400569018,0.9505501091480255,0.9190233647823334,0.9751943349838257,0.9909903407096863
SUN397__SVHN,SUN397,SVHN,0.03313298895955086,4.479761123657227,0.30776476860046387,88.10127205952007,0.6229297464394349,0.8915697459904652,0.06827374196277476,0.9105131030082703,0.8341215252876282,0.9586800932884216,0.9697734117507935
SUN397__GTSRB,SUN397,GTSRB,0.03863005340099335,3.0706725120544434,0.1859959065914154,87.78611012045819,0.832108101614709,0.9059689989629781,0.07537600372759802,0.9069717228412628,0.8693275153636932,0.964562177658081,0.9833492636680603
SUN397__MNIST,SUN397,MNIST,0.03891836106777191,3.7507457733154297,0.2776587903499603,87.76957887635892,0.8110365135917423,0.875188650949946,0.06892855555381418,0.9530391097068787,0.930945485830307,0.9677238762378693,0.9723618924617767
SUN397__DTD,SUN397,DTD,0.05897356942296028,2.6955060958862305,0.19244305789470673,86.6191017071766,0.5639594249244344,0.9272192716598511,0.0894241313608188,0.8653951287269592,0.8628309965133667,0.9366446733474731,0.9795057773590088
SUN397__Flowers102,SUN397,Flowers102,0.0510595366358757,2.4854061603546143,0.09260973334312439,87.07323138805612,0.3134591646473553,0.9145610534919882,0.08513233776924743,0.9013543426990509,0.9212080240249634,0.9503326416015625,0.9856250882148743
SUN397__PCAM,SUN397,PCAM,0.026645638048648834,4.278242588043213,0.23074772953987122,88.47313668473268,0.6681700398964995,0.8939617939715115,0.08271118208484828,0.9588079154491425,0.909008800983429,0.9640786945819855,0.946257472038269
SUN397__FER2013,SUN397,FER2013,0.032376568764448166,3.770573854446411,0.2319009155035019,88.14463501304418,0.8078416281792319,0.9205597234222124,0.07823000091989087,0.9169212281703949,0.8982886373996735,0.9680564701557159,0.9920576512813568
SUN397__OxfordIIITPet,SUN397,OxfordIIITPet,0.06337083876132965,2.5696847438812256,0.1617608517408371,86.36668380525334,0.4411498755903314,0.9180444872604226,0.08615752188664563,0.9559227228164673,0.9525510966777802,0.9856194257736206,1.0036904215812683
SUN397__STL10,SUN397,STL10,0.029448363929986954,2.5698983669281006,0.06890492141246796,88.31248906998452,0.4043819717782733,0.9096235104326932,0.08775581762475787,0.9740034639835358,0.9674754440784454,0.9909117817878723,1.0049256086349487
SUN397__CIFAR100,SUN397,CIFAR100,0.047032877802848816,4.293795585632324,0.4149651825428009,87.30422009456122,0.6558242410836194,0.9386285082349237,0.08691282547869775,0.9312320947647095,0.9391990900039673,0.9538204967975616,0.9746195673942566
SUN397__CIFAR10,SUN397,CIFAR10,0.04306713491678238,3.8472816944122314,0.32103151082992554,87.53167149856324,0.7762409779303396,0.9173619803392662,0.08278209898831708,0.960744321346283,0.9627575874328613,0.9712212383747101,0.979024350643158
SUN397__Food101,SUN397,Food101,0.04110881686210632,4.677798748016357,0.40698468685150146,87.64397438672458,0.5844591334136382,0.9400948915841445,0.09096377309200901,0.975528746843338,0.9912052154541016,0.9944575428962708,1.002519130706787
SUN397__FashionMNIST,SUN397,FashionMNIST,0.0338531993329525,4.207545757293701,0.2873230278491974,88.05998387908909,0.681751641731662,0.9079987136822827,0.0749921568440941,0.9262232780456543,0.9151450097560883,0.9590573608875275,0.9736380279064178
SUN397__EMNIST,SUN397,EMNIST,0.02909718081355095,3.2624759674072266,0.15908046066761017,88.33261900696792,0.9448626894690269,0.8639015195504675,0.0672773559700768,0.9541012048721313,0.9199050068855286,0.971090167760849,0.9801853001117706
SUN397__KMNIST,SUN397,KMNIST,0.03422578051686287,4.086380958557129,0.2781185507774353,88.03862417140786,0.7120671417146048,0.8946501106586097,0.07146928335698143,0.7192896008491516,0.5929618030786514,0.9412701427936554,0.971378356218338
SUN397__RenderedSST2,SUN397,RenderedSST2,0.03566910699009895,2.7904651165008545,0.12800583243370056,87.9558771028977,0.6202114369673538,0.8940037815076001,0.0677199126695687,0.9855051636695862,0.9665293097496033,1.0051874816417694,1.0095085501670837
Cars__RESISC45,Cars,RESISC45,0.0324401818215847,3.67253041267395,0.20482322573661804,88.140988337788,0.6445149835185524,0.9370211407823382,0.08162297822956766,0.8986261785030365,0.89168980717659,0.9550055265426636,0.9919891655445099
Cars__EuroSAT,Cars,EuroSAT,0.03163439780473709,3.5982117652893066,0.1850089579820633,88.18718007381281,0.5969944981604293,0.9070027886696581,0.07291813577121159,0.9289720952510834,0.8911382257938385,0.9695633351802826,0.9914795756340027
Cars__SVHN,Cars,SVHN,0.032032161951065063,4.892282009124756,0.38714835047721863,88.16437831073621,0.8105352865684237,0.9081252352246698,0.07060362016255002,0.8829263746738434,0.814998984336853,0.9404469728469849,0.966794341802597
Cars__GTSRB,Cars,GTSRB,0.04037981107831001,3.650752067565918,0.25297367572784424,87.68577805583794,0.6395093431941444,0.9202117841198759,0.07681822529378925,0.8787506818771362,0.8513710498809814,0.9546383321285248,0.9857679605484009
Cars__MNIST,Cars,MNIST,0.04087869077920914,4.228717803955078,0.37947845458984375,87.65717073287175,0.9476036752870304,0.8944173747638486,0.07263252830730291,0.9283156991004944,0.9069155752658844,0.9486523270606995,0.9701144993305206
Cars__DTD,Cars,DTD,0.04387444630265236,3.357365131378174,0.18629008531570435,87.48537219532822,0.433426042507837,0.9334643078300188,0.07656671967146532,0.8423893749713898,0.8502394556999207,0.9229229092597961,0.9860487878322601
Cars__Flowers102,Cars,Flowers102,0.04166262224316597,3.1885251998901367,0.09832347929477692,87.61221646652422,0.2409062766157688,0.924228807665267,0.0774323103000533,0.8724772036075592,0.8954183459281921,0.9211907982826233,0.972739964723587
Cars__PCAM,Cars,PCAM,0.028694158419966698,4.703987121582031,0.32332345843315125,88.35572013559631,0.8694004385879807,0.9053773340189232,0.07521636556341962,0.9292718470096588,0.8893057703971863,0.940963089466095,0.9521673023700714
Cars__FER2013,Cars,FER2013,0.03195030614733696,4.25531530380249,0.29776883125305176,88.16907070462406,0.9513512974117275,0.9276288714048997,0.07751034003383708,0.9023464620113373,0.8809841573238373,0.9504054486751556,0.988673210144043
Cars__OxfordIIITPet,Cars,OxfordIIITPet,0.05916515365242958,3.2454094886779785,0.1965092420578003,86.60810553876891,0.33904184641574503,0.9273253578060078,0.08313660433269898,0.9269519746303558,0.9205310046672821,0.961784690618515,0.9915032386779785
Cars__STL10,Cars,STL10,0.0228455550968647,3.255967855453491,0.06955444067716599,88.69093222416392,0.31078419819450204,0.9185880017730425,0.08225431220149092,0.9350635409355164,0.928753137588501,0.9453347325325012,0.9711267054080963
Cars__CIFAR100,Cars,CIFAR100,0.043118368834257126,4.720109939575195,0.49499955773353577,87.52873328194353,0.8533364993782856,0.9375393109501533,0.08346934113300075,0.9029172658920288,0.9156345129013062,0.9301162958145142,0.9727908074855804
Cars__CIFAR10,Cars,CIFAR10,0.04411989822983742,4.311892986297607,0.42792630195617676,87.47129520441588,0.9900806617046234,0.9251911527705643,0.0830425774151424,0.9040391147136688,0.926323801279068,0.8744640052318573,0.8907794654369354
Cars__Food101,Cars,Food101,0.04206637665629387,5.0662522315979,0.5418895483016968,87.58906274360812,0.7604786156010199,0.9394524311119655,0.08705165358084553,0.953842043876648,0.967436671257019,0.9774687588214874,0.993161678314209
